PRODBR2;CAPITAL K;VALORCOM MP;PERTOTAL L;EELEC E
497021;145596;271042;8;46857
2227900;1989815;1071642;30;131516
518120;240241;355157;9;50008
337362;84196;159481;9;10205
826406;971502;219808;17;12930
30464114;36674673;10527496;145;4555667
1721967;294100;1009533;17;96139
1721967;294100;1009533;17;96139
1028460;28556;0;19;6369
817635;114388;554116;11;20055
3106287;1229018;1925059;11;34528
1087498;320511;715571;21;11217
3901314;912922;1974988;40;65937
1893352;111009;782969;26;59980
1263446;509778;606700;15;56233
4665940;3355810;1791322;76;440296
2039026;821894;701266;25;18326
2127205;1335697;509984;19;4421
11418579;8880;9495693;2;6927
134892400;2833;128405946;3;195311
307650299;20940968;303592644;8;254667
161185401;987;210386959;7;115845
228608646;25102734;235872638;14;144300
228703848;4229422;221255462;11;158945
861418767;21034263;709545792;15;388242
64405376;18426543;62352021;3;49069
82221841;1649;80166177;2;135304
5747151;16676047;3457132;191;223300
635262;521010;210231;20;58960
23309439;1046726;6805251;255;2038708
2232941;145159;1479271;20;52105
1303252;821946;0;36;172170
912852;136756;223140;15;37542
2461323;1258612;1442376;29;178490
436960;235800;44800;21;36100
471271;105288;0;16;23790
1017000;695862;411778;11;11300
438705;304674;241334;13;31486
3591076;67416;1612899;22;8782
12994949;1149303;6490848;110;198995
1212796;222774;270151;36;63252
1049046;267072;337289;14;29670
1236473;1128698;427044;5;20270
8109878;1405285;7123933;11;227499
4515404;6936817;1121680;61;259304
8355364;15299655;2947265;92;4941502
135474;386567;0;4;16
6162557;7253309;328699;55;912152
4515404;6936817;1121680;61;259304
4515404;6936817;1121680;61;259304
144110;47379;102249;8;23930
5662848;1074274;1651845;77;1613399
7652244;2203017;3231601;53;397349
4271700;350459;2322575;48;86282
769826;23779;158893;28;28900
5239474;1456832;3450131;64;258978
1898986;219112;718927;50;6604
961447;374848;427013;24;45600
2371330;1328675;172143;83;44310
1030276;49201;683100;13;15406
1001059;342835;526549;11;35440
424204;1247580;229325;10;19150
5856024;474543;1299144;81;53728
2077422;465622;1280838;19;20512
3530126;1303656;681393;37;79428
2220846;642801;917667;34;144000
1141763;29243;389100;14;6136
732281;181309;299424;6;48532
2291993;937543;1372083;31;165890
473938;37288;119261;13;10980
1053709;90056;180067;13;40200
1640541;1655306;189674;34;367167
238912;233677;146162;20;10000
1754285;3037387;732059;97;19273
3590370;607229;1530574;22;77605
1590968;748567;513336;22;101335
1611272;1874954;672180;15;52477
1058467;462655;363039;21;55940
279000;97011;73997;12;14098
59138955;13820214;45314503;104;2508396
1712541;1217352;37369;28;388582
460621;204108;153199;10;65970
1714749;319054;839558;14;102606
2259276;431480;584197;36;38734
346246;1005588;61021;76;67436
298875;47130;79398;12;66885
671382;199950;530174;16;19475
7440271;1819194;4281801;35;134021
1658730;1372;891033;16;100126
567280;333040;260648;11;38703
589505;388462;456698;11;26550
576000;378034;72000;7;25760
1878956;84259;1139713;21;17111
1109332;428431;916182;10;132880
3653847;2131934;2037742;51;331389
5880367;194449;5467199;50;59033
2038747;353266;1212827;17;130278
512583;1528440;333963;7;2355
63500;57512;35861;7;1510
487057;106592;97204;13;119179
3147258;2699475;1327897;66;201290
1064019;67889;669174;18;12058
1057098;45171;197248;19;72085
1061209;629460;594128;23;282755
676291;338558;212342;13;5461
2834875;3640570;522770;26;36457
487045;560979;64895;14;54433
492870;637759;122256;12;6020
5067483;446290;2798675;11;40151
2826995;1632743;1497750;29;22773
1308820;726357;341900;30;95255
144899;3144886;97524;21;14176
1124066;410976;360610;38;119588
23535933;4193677;10743255;159;781662
2515778;569700;1087915;30;33543
183730;64842;150956;10;7404
502713;289396;313736;11;9276
39497;28404;949;7;2350
1150254;49900;459397;8;44789
673167;161489;169236;25;3985
666000;125685;227584;23;14911
626349;683596;447331;12;4080
4503464;-108068;744972;73;293530
351165;141026;153527;12;9124
4640040;482642;1526332;63;57040
1140592;499847;465311;17;34166
1880079;373650;479656;36;69800
11290645;1617594;7128880;92;156407
16574658;6997607;9706462;64;2094274
743755;548053;352330;8;13158
415076;179233;138458;9;19636
456456;374648;231848;5;12109
546979;207712;120142;13;7362
467699;67890;383;10;4179
866498;136543;377564;24;30087
1077143;684071;633104;4;2580
678206;167981;206135;8;2600
721857;360328;269320;8;7513
1211701;2173163;624574;12;20879
482224;143655;333511;10;15480
6602516;410537;5337435;33;300541
5116795;992004;1536534;64;544622
2916716;2176628;667333;88;196508
1045469;706981;357121;21;21500
939690;65288;469845;12;19828
355315;496370;194923;13;28457
518662;476247;0;34;19856
461689;397737;44974;13;289400
586654;147186;225333;5;19102
1841387;622604;407697;21;152773
1512177;766995;1089000;32;415453
615356;1198742;122845;10;10240
4169961;5379906;2841355;22;60208
9133746;1471427;3063316;26;73673
3543484;47236;1154845;30;51345
6343039;4069917;1760616;66;1796673
4054939;1266327;2238390;26;152705
736098;910021;0;16;162860
833288;1761446;293287;15;13200
449160;30690;256800;10;19800
933299;547923;613468;6;288921
790000;590194;300227;13;49368
3808883;10627439;2322053;44;510793
1677370;586168;262969;22;21722
2324228;494699;1100955;9;36200
1113020;410487;455324;9;16467
155931;82248;216838;10;1759
314275;86448;184175;4;2317
412689;151449;98900;16;123072
1730000;432382;365496;19;73746
3369548;1851008;2259354;13;5291
611030;789665;233841;32;51852
465604;131189;11458;18;24097
254467;114500;172223;10;12627
5888110;586609;4027844;37;186903
765861;682148;233466;11;39928
1313438;39602;440447;44;5586
1554443;3197138;485401;58;11235
247996;452444;139870;15;56901
2125954;582304;169988;62;56640
3597865;2983628;1673956;41;114916
4973859;410119;2887045;89;288535
826066;333506;599587;15;8738
1473400;83356;853839;43;20590
4369685;1420616;2441300;15;164136
1140528;1532826;243352;18;32200
639856;815222;403089;14;17511
1142305;2550109;1032335;26;19847
764750;401613;472821;11;11120
1326626;30954;609775;24;44433
26538469;29853741;16222264;54;6088273
20606631;40962263;10473312;507;462982
668065;41251;277123;19;137540
1447768;103710;587616;20;22623
649182;205213;90579;12;97188
873825;91409;341103;13;10600
7612076;3571393;2759436;70;25628
7497946;468174;5875399;33;79571
495726;414658;141830;17;11640
306502;269335;0;7;9816
479842;229112;103543;9;9000
22283961;4627166;6552902;106;807035
1307274;2094559;184135;29;33195
617401;1747459;205901;11;8920
5134023;3653769;2792878;35;137840
2910314;192720;1870888;94;129800
4668748;9284406;333034;109;1059932
473217;359963;281118;15;44644
7710133;2060397;5348856;78;116317
1331650;848643;0;38;9913
6067531;1396193;4591455;31;251866
413209;91000;263408;36;36719
1626085;696567;4900;38;377470
970361;74808;624463;21;23500
456903;751884;154701;19;23478
1424611;405604;457072;21;47230
519785;147084;322671;13;89786
2107199;937143;5257;13;528390
703593;120304;396783;8;68422
2106990;468535;866240;26;970062
4114872;1272219;3428136;17;269064
2265236;559647;813200;22;50945
2183164;898494;921682;32;127428
290117;1068274;130636;7;2372
7005120;79158;3856781;21;18954
639500;1031048;453494;10;26380
277217;466047;11999;7;3200
3273732;734426;1986211;47;8890
1234938;71955;415493;15;19000
889952;511100;65800;23;26520
136642;64442;20703;13;5735
1006393;189380;165361;24;10583
458176;1150147;0;12;13741
3634633;951976;679190;78;331200
1960354;8832;961770;22;18591
1757696;496258;0;28;324000
3688160;500295;435862;23;55541
1362711;1078737;503480;13;602652
1687606;186820;752798;23;45604
638181;346145;387546;15;99846
8945863;1869460;3701950;45;27068
4233064;1307855;1433751;50;250560
1445923;673000;936639;20;23136
4119836;2525237;2628924;63;1071683
768996;784467;362846;10;123000
6265059;762553;4391021;100;33502
416182;12226;267363;14;6829
2237539;124712;1487739;15;53093
530506;143109;296834;16;5150
326141;1020872;153845;10;12316
5480651;4588573;2986341;30;75111
5614680;438690;2733689;25;118224
3613531;2979750;1532296;50;92051
754939;2145400;372093;37;49584
984135;547438;544359;24;104911
4001671;1195411;3999552;43;57843
575736;231450;269000;11;15684
8985127;1958922;4357632;87;180356
280860;618780;107918;10;13965
188683;116414;102658;9;12414
875978;437636;168646;10;24110
1094291;107419;208917;23;7556
435878;211109;132340;12;9200
311211;0;83941;6;2152
284661;597761;103474;9;5482
712577;258226;363971;6;36491
977317;846812;397864;12;16221
1846257;434956;814620;40;27935
613675;42152;130033;16;9280
3339910;345737;528889;30;23853
84000;34000;20120;10;14297
1828288;8336;464383;34;2515
869598;912249;40158;23;464106
3488613;1167894;2236523;29;63696
59357622;38007772;44382848;132;6718540
1811068;35863;563798;13;5608
162739;318877;560929;6;43980
2726867;1916316;1598021;19;178633
6193247;1045846;4328026;52;1011174
7315444;5852886;2736855;100;299876
925110;876648;172360;44;25928
432175;136637;314275;24;9696
1972565;94241;692580;30;12455
15295135;3382699;7085658;113;496946
558615;573309;323636;14;22218
2419249;339719;697861;75;35360
1912864;1099018;578784;37;73920
4040264;871160;2489840;23;90982
430425;797914;0;16;19000
1122845;340723;826854;11;3694
8166745;1876441;3458441;57;132479
637092;255255;411861;16;29450
4756060;612908;1282432;14;41400
1405824;123388;387137;24;19630
1730145;204377;529496;26;30975
1335447;229808;966829;26;31385
10886713;14398190;5474782;77;1280750
4530318;687968;1962895;8;320223
1560184;208441;941354;13;469697
226651741;97835618;159789678;554;8066873
1502456;305251;370649;22;63141
1307535;86907;737000;19;10039
1589841;226393;827780;24;54921
2741562;1493981;1971229;13;16695
4508933;110625;1990110;19;10638
3707600;279010;1770162;26;21600
1088330;255375;607000;25;32983
517650;468778;238267;12;12045
4998240;1003515;532037;76;130155
3056394;734666;2882446;27;49674
196888;197452;96051;6;28136
287281;27651;137430;8;33654
382320;82500;157880;16;297455
280955;72584;28416;11;10567
3583818;3666;1651223;37;420153
2447161;126333;417437;12;5400
3490662;3958600;491028;38;43505
3508477;78112;2188830;19;15474
983439;83269;346839;18;13724
857163;182198;571466;6;35174
6235978;5977076;2928589;53;625588
297630;181998;115325;7;5600
3486110;338378;1899253;21;12497
4139475;1073156;1522400;43;93215
2847506;4313451;1206777;17;646433
2281330;2871449;609539;44;72420
705759;413571;447808;34;24086
2993850;2722185;1209044;14;34161
1378920;1235007;954905;15;6363
4044434;1122312;3214829;38;80280
1212983;508003;653794;33;17289
1716461;172061;856468;12;27785
629576;664494;159248;11;30274
1851472;41568;1261635;13;10591
